Number;Name;Sponsor(s);Co-Sponsor(s);Steering Division;Project Facilitator;Status;SD Approval Date;TSC Approval Date;Type;Project End Date;Project Intent;Common Names / Keywords / Aliases;Project Document Repository;External Vocabularies;Products;Start Date
1136;Template Metadata Load to HingX;Publishing, Electronic Services and Tools Work Group;;Organizational Support;Andy Stechishin;Archived;;;- Other -;2015 Sept WGM/Ballot;New/Modified HL7 Policy/Procedure/Process;;http://wiki.hl7.org/index.php?title=Templates_HingX_Load_Project;;- Non Product Project -;23/07/2014 08:00
1137;3YP Placeholder;Arden Syntax Work Group;;Infrastructure;Arden Syntax WG Co-Chairs;Archived;;;- Other -;2015 Jan WGM/Ballot;;;;;;15/08/2014 08:00
1138;CDC Developmental Screening;Patient Care Work Group;;Clinical;Child Health WG Co-Chairs;Archived;;;- Other -;2015 Sept WGM/Ballot;;;;;;21/08/2014 08:00
1140;Measure Report using FHIR;Clinical Quality Information Work Group;No Selection;Clinical;Chris Millet;Archived;20/10/2014;10/11/2014;Ballot - Comment;2016 Jan WGM/Ballot;Supplement to a Current Standard;;http://wiki.hl7.org/index.php?title=MeasureReportProfile ;;;12/09/2014 08:00
1139;Pharmacy Universal CDA Templates;Pharmacy Work Group;Structured Documents Work Group;Clinical;Melva Peters;STU - Test Period/Accepting Comments;15/09/2014;06/10/2014;Ballot - STU to Normative;2023 Sept WGM/Ballot;Supplement to a Current Standard;;"HL7 Wiki http://wiki.hl7.org/index.php?title=Pharmacy_Universal_Templates_Project
HL7 Document Repository http://www.hl7.org/Special/committees/medication/docs.cfm 
Template library (to be determined)";;V3 Documents-Clinical (e.g. CDA);12/09/2014 08:00
1143;Data Access Framework (DAF) FHIR Profile;Infrastructure and Messaging Work Group;Structured Documents Work Group;Infrastructure;Jonathan Coleman;Archived;02/11/2014;19/12/2014;Ballot - STU to Normative;2019 May WGM/Ballot;IG;;"http://wiki.siframework.org/Data+Access+Framework+Homepage 
FHIR's SVN repository";;FHIR Extensions;03/10/2014 08:00
1142;CQL-based HQMF IG;Clinical Quality Information Work Group;Clinical Decision Support Work Group;Clinical;Bryn Rhodes;STU - Test Period/Accepting Comments;06/10/2016;24/10/2016;Ballot - STU to Normative;2025 May WGM/Ballot;Revise Current Standard;CQL-based HQMF ;http://wiki.hl7.org/index.php?title=Harmonization_of_Health_Quality_Information_model;No;V3 Documents-Knowledge;03/10/2014 08:00
1144;Bipolar and Generalized Anxiety Disorder Domain Model;Clinical Interoperability Council Work Group;;Clinical;Maryam Younes;Archived;19/01/2015;24/03/2015;Ballot - Informative;2021 May WGM/Ballot;Create New Standard, Revise Current Standard;;http://www.hl7.org/Special/committees/cic/index.cfm;;Domain Analysis Model (DAM);07/10/2014 08:00
1145;Knowledge Artifact Authoring Environment Requirements Definition Project;Clinical Decision Support Work Group;Clinical Quality Information Work Group;Administrative;Claude Nanjo;Archived;;;Ballot - Comment;2018 Jan WGM/Ballot;N/A (Project not directly related to an HL7 Standard);N/A;http://hssp.wikispaces.com/editor;;- Non Product Project -;08/10/2014 08:00
1146;Unified Conformance and Constraint Modeling (previously known as Refinement, Constraint and Localization, Release 3);Conformance Work Group;Infrastructure and Messaging Work Group, Modeling and Methodology Work Group, Vocabulary Work Group;Infrastructure;Frank Oemig;On Hold;;;Ballot - Informative;2023 Jan WGM/Ballot;Revise Current Standard, Supplement to a Current Standard;;"HL7 GForge: http://gforge.hl7.org/gf/project/hdf/
Wiki page: http://wiki.hl7.org/index.php?title=Unified_Conformance_Guidance";;"V2 Messages-Infrastructure; V3 Documents-Clinical (e.g. CDA); V3 Foundation-RIM; V3 Foundation-Vocab Domains & Value Sets";09/10/2014 08:00
1150;HL7 Clinical Document Architecture, Release 2.1;Structured Documents Work Group;Clinical Statement Work Group, Implementable Technology Specifications Work Group, Modeling and Methodology Work Group, Templates Work Group, Vocabulary Work Group;Infrastructure;Calvin Beebe / Diana Behling;Archived;24/10/2014;10/11/2014;Ballot - Normative (no STU);2021 Jan WGM/Ballot;Revise Current Standard;;;;V3 Documents-Clinical (e.g. CDA);13/10/2014 08:00
1149;IG for CDA R2 - Lvl 3 Personal Healthcare Monitoring Reports, R1;Structured Documents Work Group;Devices Work Group;Administrative;Barry Reinhold;Archived;26/05/2014;03/03/2015;Ballot - Normative (no STU);2017 Jan WGM/Ballot;IG;;N/A;;V3 Documents-Clinical (e.g. CDA);13/10/2014 08:00
1147;ISO Identification of Medicinal Products (IDMP) Technical Specifications and EU/EMA Requirements for SPL Release 7;Biomedical Research and Regulation Work Group;Orders and Observations Work Group;Clinical;Vada Perkins, Paolo Alcini;Archived;;03/03/2014;ISO JIC Ballot Project;2017 May WGM/Ballot;Revise Current Standard, IG, Externally developed IG is to be Adopted;ISO IDMP, IDMP, EU Requirements for HL7 CPM/SPL , SPL R7;HL7 Publishing Document Repository;;"V3 Documents-Administrative (e.g. SPL); V3 Foundation-RIM";13/10/2014 08:00
1158;"Reaffirm GELLO; A Common Expression Language, Release 2";Clinical Decision Support Work Group;;Administrative;Andrew McIntyre;Archived;10/12/2015;08/02/2016;Ballot - Normative (no STU);2016 Sept WGM/Ballot;Reaffirmation of a standard;GELLO R2 ;http://wiki.hl7.org/index.php?title=Clinical_Decision_Support_Workgroup#Projects;No;V3 Rules-GELLO;16/10/2014 08:00
1151;EMS Patient Care Report Release Two;Clinical Interoperability Council Work Group;;Clinical;Mitra Rocca;Archived;13/09/2014;10/11/2014;Ballot - Normative (no STU);2016 May WGM/Ballot;Revise Current Standard;;http://wiki.hl7.org/index.php?title=EMS_Projects;;V3 Documents-Clinical (e.g. CDA);20/10/2014 08:00
1152;Re-Ballot Release 2 of 'Core principles of V3 Models' - a limited scope update;Modeling and Methodology Work Group;;Infrastructure;George Beeler;Archived;31/10/2014;17/11/2014;Ballot - Normative (no STU);2018 Sept WGM/Ballot;Revise Current Standard;;SVN - input/infrastructure/coreprinciples/v3modelcoreprinciples.mif;;V3 Foundation-RIM;23/10/2014 08:00
1154;EHR System Functional Model-Security and Privacy Joint Vocabulary Alignment;Electronic Health Records Work Group;Community-Based Care and Privacy (CBCP) Work Group, Services Oriented Architecture Work Group;Administrative;Steve Hufnagel;Archived;15/09/2014;10/11/2014;- Other -;2015 Sept WGM/Ballot;;;EHR Interoperability Wiki: http://wiki.hl7.org/index.php?title=EHR_Interoperability_WG;;;31/10/2014 08:00
1155;HL7 Attachment Supplement Specification: Request and Response IG Release 2;Payer/Provider Info Exchange Work Group;;Clinical;Craig Gabron and Durwin Day;Archived;27/02/2015;24/03/2015;Ballot - Informative;2017 Jan WGM/Ballot;IG;Supplemental Attachment Guide, Attachment Supplemental Guide ;http://www.hl7.org/special/Committees/claims/docs.cfm;No;- New/Modified HL7 Policy/Procedure/Process -;31/10/2014 08:00
1073;HL7 Endorsement of 'HL7 EHR-System for a Pharmacist/Pharmacy Electronic Health Record IG for Community Practice;Pharmacy Work Group;Electronic Health Records Work Group;Clinical;Scott Robertson;Archived;02/12/2014;08/12/2014;Ballot - Informative;2016 Jan WGM/Ballot;Externally developed IG is to be Endorsed;;http://gforge.hl7.org/svn/pharmacysig/pharmacysig/Material/Balloting/eRx Functional Profile ;;Functional Profile;03/11/2014 08:00
1159;Reaffirmation of HL7 EHR System Long Term Care Functional Profile, Release 1 - US Realm;Electronic Health Records Work Group;;Administrative;Pat Van Dyke;Archived;19/01/2015;10/08/2015;Ballot - Normative (no STU);2016 Jan WGM/Ballot;Reaffirmation of a standard;;;No;;06/11/2014 08:00
1160;November 2014 Post Harmonization;Board of Directors Work Group;No Selection;None;Ted Klein;Archived;;;Vendor Contract;2015 Jan WGM/Ballot;Revise Current Standard;;;;V3 Foundation-RIM;21/11/2014 08:00
1161;SHARE Project - Phase 1 (Affiliate Submissions);Board of Directors Work Group;;None;David Hamill;Archived;;;- Other -;2015 Jan WGM/Ballot;N/A (Project not directly related to an HL7 Standard);;GForge under 'SHARE Project';;- New/Modified HL7 Policy/Procedure/Process -;12/12/2014 08:00
1085;Care Plan Clinical Models;Patient Care Work Group;;None;Stephen Chu and Laura Heerman Langford;Archived;;;Ballot - STU;2023 Sept WGM/Ballot;;;;;;26/01/2015 08:00
1163;Derived Domain Profile to the HL7 EHR Child Health Functional Profile focused on Developmental Screening;Patient Care Work Group;Electronic Health Records Work Group;Clinical;Pele Yu, Michael Padula;Archived;27/02/2015;09/03/2015;Ballot - Informative;2017 Sept WGM/Ballot;Supplement to a Current Standard;;http://wiki.hl7.org/index.php?title=Developmental_Screening_Derived_Domain_Profile;;;30/01/2015 08:00
1162;Value Set Maintenance and Stewardship;Structured Documents Work Group;Vocabulary Work Group;Infrastructure;Brett Marquard;Active Project (Resources assigned to pjt);19/01/2015;16/02/2015;- Other -;2025 Sept WGM/Ballot;New/Modified HL7 Policy/Procedure/Process;;N/A;;- Non Product Project -;30/01/2015 08:00
1173;March 2015 Post Harmonization;Board of Directors Work Group;No Selection;None;Ted Klein;Archived;;;Vendor Contract;2015 May WGM/Ballot;Revise Current Standard;;;;V3 Foundation-RIM;02/02/2015 08:00
1165;Clinical Genomics - Genetic Variation (Fully LOINC-Qualified Genetic Variation Model);Clinical Genomics Work Group;;Clinical;Mollie Ullman-Cullere;Archived;27/02/2015;17/03/2015;Ballot - Informative;2017 May WGM/Ballot;Revise Current Standard;;"Project documents and requirements will be uploaded to the main HL7 website within the clinical genomics document section: <a href=""http://www.hl7.org/Special/committees/clingenomics/docs.cfm?wg_id=7&amp;wg_docs_subfolder_name=docs"">http://www.hl7.org/Special/committees/clingenomics/docs.cfm?wg_id=7&amp;wg_docs_subfolder_name=docs";;V2 Messages-Clinical;02/02/2015 08:00
1167;Pharmacist EHR-System Functional Profile Release 1.0;Electronic Health Records Work Group;Pharmacy Work Group;Administrative;"Shelly Spiro; Scott Robertson; Sue Thompson";Archived;20/02/2015;03/03/2015;Ballot - Normative (no STU);2018 May WGM/Ballot;Create New Standard;;In development on the HL7 wiki. ;;Electronic Health Record;02/02/2015 08:00
1166;Showcase - Nursing Electronic Health Record Applications, Devices and Apps Communicating Patient Data Electronically using HL7 standards & IHE profiles;Patient Care Work Group;Clinical Interoperability Council Work Group, Electronic Health Records Work Group;Clinical;Laura Heermann LangfordDr William Goossen, Pat van Dyke, Patrick Weber;Archived;19/01/2015;04/05/2015;- Other -;2022 Sept WGM/Ballot;N/A (Project not directly related to an HL7 Standard);;http://wiki.hl7.org/index.php?title=HL7_Nurse_Group ;;"FHIR Extensions; FHIR Resources; V3 Documents-Clinical (e.g. CDA); V3 Foundation-Vocab Domains & Value Sets; V3 Messages-Clinical";02/02/2015 08:00
1169;HL7 Value Set Discovery Tool: Vocabulary Mining Tool;Terminology Authority Work Group;PEST Work Group, Vocabulary Work Group;None;"Heather Grain; Sandra Stuart";Archived;;;- Other -;2017 Jan WGM/Ballot;N/A (Project not directly related to an HL7 Standard);;http://www.hl7.org/special/committees/termauth/docs.cfm;;- Non Product Project -;06/02/2015 08:00
1171;University/College Internernship Process Development;Project Services Work Group;Education Work Group, Technical Steering Committee;Organizational Support;Tom Maroon;Archived;23/02/2015;09/03/2015;- Other -;2017 Sept WGM/Ballot;N/A (Project not directly related to an HL7 Standard);;the university intership component projects are a part.;N/A;- Non Product Project -;06/02/2015 08:00
1172;Clinical Genomics Domain Analysis Model;Clinical Genomics Work Group;;Clinical;Amnon Shabo (Shvo) and Mollie Ullman-Cullere;Archived;;;;2016 Sept WGM/Ballot;Create New Standard;CG DAM/DIM;http://www.hl7.org/Special/committees/clingenomics/docs.cfm;N/A;Domain Analysis Model (DAM);06/02/2015 08:00
1168;Add FHIR Appendix to HL7 Attachment Specification: Supplement to Consolidated CDA Templated Guide, Release 1;Payer/Provider Info Exchange Work Group;;Clinical;Craig Gabron;Archived;27/02/2015;24/03/2015;- Other -;2015 May WGM/Ballot;Supplement to a Current Standard;Supplemental Attachment Guide, Attachment Supplemental Guide ;http://www.hl7.org/special/Committees/claims/products.cfm;No;- New/Modified HL7 Policy/Procedure/Process -;06/02/2015 08:00
1170;HL7 Value Set Discovery Tool: Vocabulary Register (extend the Vocabulary Mining Tool);Terminology Authority Work Group;PEST Work Group, Vocabulary Work Group;None;"Heather Grain; Sandra Stuart";Archived;;;- Other -;2016 Sept WGM/Ballot;New/Modified HL7 Policy/Procedure/Process;;http://www.hl7.org/special/committees/termauth/docs.cfm;;- New/Modified HL7 Policy/Procedure/Process -;06/02/2015 08:00
1174;Behavioral Health Domain Analysis Model,  Release 2.0;Community-Based Care and Privacy (CBCP) Work Group;Clinical Interoperability Council Work Group, Patient Care Work Group;Clinical;Ken Salyards (SAMHSA);Archived;12/05/2015;14/05/2015;Ballot - Informative;2017 May WGM/Ballot;Revise Current Standard;BH DAM ;"SVN: <a href=""http://gforge.hl7.org/gf/project/cbcc/scmsvn/?action=browse&amp;path=%2Ftrunk%2FBH_DAM%2F"">http://gforge.hl7.org/gf/project/cbcc/scmsvn/?action=browse&amp;path=%2Ftrunk%2FBH_DAM%2F
Releases: <a href=""http://gforge.hl7.org/gf/project/cbcc/frs/?action=FrsReleaseBrowse&amp;frs_package_id=212"">http://gforge.hl7.org/gf/project/cbcc/frs/?action=FrsReleaseBrowse&amp;frs_package_id=212";Yes;Domain Analysis Model (DAM);17/02/2015 08:00
1175;Clinical Decision Support Big Picture IG;Arden Syntax Work Group;Clinical Decision Support Work Group, Clinical Quality Information Work Group;Infrastructure;Robert Jenders;Active Project (Resources assigned to pjt);01/11/2017;05/03/2018;Ballot - Informative;2022 Jan WGM/Ballot;IG;;http://wiki.hl7.org/index.php?title=CDS_Big_Picture_IG_Project;N/A;- New Product Definition -;17/02/2015 08:00
1176;Annual Review of Tooling Strategy;Publishing, Electronic Services and Tools Work Group;;Organizational Support;EST WG CoChairs;Archived;;;- Other -;2020 Jan WGM/Ballot;;;;;;19/02/2015 08:00
1177;HL7 Ballot Process Pilot;Technical Steering Committee;FHIR Management Group, PEST Work Group, Publishing Work Group;None;Austin Kreisler;Archived;09/03/2015;09/03/2015;- Other -;2016 Jan WGM/Ballot;N/A (Project not directly related to an HL7 Standard);N/A;"The draft process defined by this project must be ready to pilot in time for the FHIR DSTU project ballot in the May 2015 ballot cycle.
<a href=""http://www.hl7.org/Special/committees/tsc/projects.cfm?action=edit&amp;ProjectNumber=891"">http://www.hl7.org/Special/committees/tsc/projects.cfm?action=edit&amp;ProjectNumber=891

You are invited to review this draft process and submit comments via the following link: http://wiki.hl7.org/index.php?title=FHIR_Ballot_Process_Review. Comments will be accepted through March 20, 2015.";N/A;;25/02/2015 08:00
1178;Definition of the content of 'implementation packages' for the HL7 v2 and CDA product lines;Application Implementation and Design Work Group;Application Implementation and Design Work Group, Education Work Group, Publishing Work Group;Organizational Support;"Andy Stechishin; Ken Chen; Rene Spronk";Archived;11/05/2015;16/06/2015;- Other -;2017 Sept WGM/Ballot;N/A (Project not directly related to an HL7 Standard);;http://wiki.hl7.org/index.php?title=Implementation_Packages;N/A;"V2 Messages-Clinical; V2 Messages-Departmental; V2 Messages-Infrastructure; V3 Documents-Administrative (e.g. SPL); V3 Documents-Clinical (e.g. CDA)";10/03/2015 08:00
1180;Pilot WIKI Based Ballot Editing;Structured Documents Work Group;PEST Work Group, Publishing Work Group;Infrastructure;Benjamin Flessner;Active Project (Resources assigned to pjt);24/04/2015;04/05/2015;- Other -;2025 Sept WGM/Ballot;N/A (Project not directly related to an HL7 Standard);WIKI Editing ;http://wiki.hl7.org/index.php?title=WIKI_Editing_Project;N/A;- Non Product Project -;16/03/2015 08:00
1179;Project Scope Statement(PSS)-Lite;Project Services Work Group;;Organizational Support;Freida Hall;Archived;20/03/2015;30/03/2015;- Other -;2016 Jan WGM/Ballot;New/Modified HL7 Policy/Procedure/Process;PSS-Lite;http://gforge.hl7.org/gf/project/psc/docman/PSS-Lite%20Project ;N/A;- Non Product Project -;16/03/2015 08:00
1181;Mobile Framework for Healthcare Adoption of Short-Message Technologies (mFHAST);Mobile Health Work Group;Implementable Technology Specifications Work Group;Infrastructure;Nathan Botts;On Hold;24/04/2015;14/10/2015;Ballot - STU to Normative;2022 Jan WGM/Ballot;Create New Standard;Short Message Technologies: This workgroup will be using the term Short-Message Technologies (SMTs) to refer to the domain of technologies that utilize short-message mediums, commonly known as text messaging applications. Accordingly, the scope of this work is not specific to SMS, Twitter, iMessage etc., but is meant to encompass a broader range of activities that may use anyone of these technologies.;mFHAST Project Directory: http://wiki.hl7.org/index.php?title=MHWG_Projects_mFHAST;Don't Know;- New Product Definition -;19/03/2015 08:00
1182;Consumer Mobile Health Application Functional Framework;Mobile Health Work Group;Electronic Health Records Work Group;Infrastructure;Tim McKay;STU - Reconcile;24/04/2015;22/09/2015;Ballot - Comment;2022 May WGM/Ballot;Create New Standard, Supplement to a Current Standard;"Mobile Health Framework; Consumer Health Mobile Framework ";TBD;No;- New Product Definition -;10/04/2015 08:00
1217;Develop FHIR artifacts for clinical genomics;Clinical Genomics Work Group;Orders and Observations Work Group;Clinical;All Clinical Genomics Co-Chairs;STU - Reconcile;11/05/2015;15/05/2015;Ballot - STU to Normative;2022 Sept WGM/Ballot;Supplement to a Current Standard, IG;CG FHIR project, SMART Genomics on FHIR (portions of this project bring this work officially into HL7 mainstream vs green field activity) ;"http://wiki.hl7.org/index.php?title=ClinicalGenomics_FHIR_IG_Proposal

Main HL7 website Clinical Genomics document repository";Yes;;13/04/2015 08:00
1183;Clinical Guidance on Relevant and Pertinent Data to Include in Automatically Generated Patient Summaries;Structured Documents Work Group;;Administrative;Keith W. Boone;Archived;24/04/2015;04/05/2015;Ballot - Informative;2017 May WGM/Ballot;Supplement to a Current Standard, IG;"R&amp;P";http://wiki.hl7.org/index.php?title=Relevant_and_Pertinent ;No;V3 Documents-Clinical (e.g. CDA);24/04/2015 08:00
1184;FHIR Ontology and RDF Resource Representation Project;Implementable Technology Specifications Work Group;FHIR Management Group;Infrastructure;David Booth;Active Project (Resources assigned to pjt);11/05/2015;;Ballot - STU to Normative;2025 Jan WGM/Ballot;Revise Current Standard;FHIR Ontology ;TBD;Yes;FHIR Resources;24/04/2015 08:00
1185;Reaffirm HL7 Version 3 Standard: Master File/Registry Infrastructure R1;Infrastructure and Messaging Work Group;;Infrastructure;InM Co-Chair;Archived;29/01/2018;12/02/2018;Ballot - Normative (no STU);2018 Sept WGM/Ballot;Reaffirmation of a standard;MFMI;;No;V3 Messages-Infrastructure;11/05/2015 08:00
1186;Emergency Medical Services (EMS) Hospital Outcomes Report;Clinical Interoperability Council Work Group;Emergency Care Work Group, Structured Documents Work Group;Clinical;Jay Lyle;Archived;30/06/2015;20/07/2015;Ballot - STU to Normative;2017 Sept WGM/Ballot;Create New Standard;EMS Hospital Outcomes summary;http://wiki.hl7.org/index.php?title=EMS_Outcomes_project;Yes;V3 Documents-Clinical (e.g. CDA);29/05/2015 08:00
1188;Model Automatic eXchange (MAX) for UML Models R2;Clinical Interoperability Council Work Group;PEST Work Group;Clinical;AbdulMalik Shakir;Archived;24/06/2015;07/07/2015;- Other -;2016 Jan WGM/Ballot;N/A (Project not directly related to an HL7 Standard);MAX, DAM. DCM. Model Export. UML. Spreadsheet ;"The project will update the 'old' wiki page for all project related documents.
http://wiki.hl7.org/index.php?title=MAX_-_Model_Automated_eXchange ";N/A;- Non Product Project -;03/06/2015 08:00
1187;FHIR-Based Clinical Decision Support (CDS on FHIR);Clinical Decision Support Work Group;FHIR Infrastructure Work Group, Services Oriented Architecture Work Group;Administrative;Bryn Rhodes;Archived;17/07/2015;;Ballot - STU to Normative;2016 May WGM/Ballot;Revise Current Standard;CDS on FHIR, FHIR CDS Profiles, FHIR-based DSS IG, FHIR-based CDS KAS ;http://wiki.hl7.org/index.php?title=CDS_on_FHIR;N/A;;03/06/2015 08:00
1190;Development of computable semantic links from FHIR specs to RIM;Architectural Review Work Group;PEST Work Group, Implementable Technology Specifications Work Group, Pharmacy Work Group;None;Tony Julian;Archived;01/09/2015;01/09/2015;- Other -;2016 May WGM/Ballot;Create New Standard;;http://wiki.hl7.org/index.php?title=Computable_semantic_links_from_FHIR;Don't Know;FHIR Profile;04/06/2015 08:00
1191;Clinical Statement Model CMETs;Clinical Statement Work Group;Orders and Observations Work Group, Patient Care Work Group, Pharmacy Work Group, Public Health Work Group, Structured Documents Work Group;Administrative;"Hans Buitendijk; Rik Smithies";Archived;19/07/2015;25/08/2015;Ballot - STU to Normative;2016 May WGM/Ballot;Create New Standard;CS CMETs ;http://wiki.hl7.org/index.php?title=Clinical_Statement_Work_Group;No;Logical Model;04/06/2015 08:00
1189;FHIR eCQM Profile;Clinical Quality Information Work Group;Clinical Decision Support Work Group;Clinical;Jason Walonoski;Archived;02/09/2015;21/09/2015;Ballot - STU to Normative;2018 Jan WGM/Ballot;IG;CQL, FHIR, CQM, eCQM, eMeasure;http://wiki.hl7.org/index.php?title=FHIR_eCQM_Profile_IG;Don't Know;;04/06/2015 08:00
1164;Reaffirmation of CCOW 1.6;Infrastructure and Messaging Work Group;;Infrastructure;InM Work Group Co-Chairs;Archived;09/06/2015;23/06/2015;Ballot - Normative (no STU);2016 Sept WGM/Ballot;Reaffirmation of a standard;CCOW ;http://wiki.hl7.org/index.php?title=CCOW_reaffirmation;No;CCOW;09/06/2015 08:00
1192;HL7 IG(s) for CDA Release 2 & FHIR Release 4: Healthcare Associated Infection Reports (PSS in Confluence);Structured Documents Work Group;;Infrastructure;Andrea Benin;Active Project (Resources assigned to pjt);09/06/2020;22/06/2020;Ballot - STU to Normative;2025 Sept WGM/Ballot;Revise Current Standard, Supplement to a Current Standard, IG;HAI CDA IG, NHSN CDA IG, HAI, HAI FHIR IG;"Updated PSS:  https://confluence.hl7.org/pages/viewpage.action?pageId=86966520

FHIR: https://github.com/HL7/HAI

http://wiki.hl7.org/index.php?title=Healthcare_Associated_Infection_Reports ";Yes;"FHIR IG; FHIR Profile";09/06/2015 08:00
1156;Reaffirmation of HL7 Version 3 Standard: Shared Messages, Release 3;Infrastructure and Messaging Work Group;;Infrastructure;Anthony (Tony) Julian;Archived;09/06/2015;23/06/2015;Ballot - Normative (no STU);2016 Jan WGM/Ballot;Reaffirmation of a standard;Shared Messages, Release 3;http://wiki.hl7.org/index.php?title=SharedMessageR3-reaff;No;V3 Messages-Infrastructure;09/06/2015 08:00
1193;Transmission Infrastructure, Release 2;Infrastructure and Messaging Work Group;;Infrastructure;Tony Julian;Archived;09/06/2015;22/06/2015;Ballot - STU to Normative;2017 May WGM/Ballot;Revise Current Standard;HL7 Transmission Wrappers R1.1 Batch Messaging;;;V3 Messages-Infrastructure;12/06/2015 08:00
1194;Pastoral Care Order/Observations;Orders and Observations Work Group;;Administrative;Ken McCaslin;Archived;19/07/2015;;Ballot - STU to Normative;2019 Sept WGM/Ballot;Supplement to a Current Standard, IG;;OO secure page until published.;Don't Know;V2 Messages-Clinical;19/06/2015 08:00
1195;July 2015 Post Harmonization;Board of Directors Work Group;No Selection;None;Ted Klein;Archived;;;Vendor Contract;2015 Sept WGM/Ballot;Revise Current Standard;;;;V3 Foundation-RIM;22/06/2015 08:00
1196;Terminology Quality Development and Management Processes (TQA);Vocabulary Work Group;Conformance Work Group, FHIR Management Group, Modeling and Methodology Work Group, Structured Documents Work Group;Infrastructure;Rob McClure;Archived;08/07/2015;27/07/2015;- Other -;2018 May WGM/Ballot;N/A (Project not directly related to an HL7 Standard);TQA Process (Terminology Quality Assurance Process);;Yes;- New/Modified HL7 Policy/Procedure/Process -;15/07/2015 08:00
1197;Alignment of EN ISO 13606 Health informatics - Electronic Health Record Communication with HL7 FHIR (using FHIR);Electronic Health Records Work Group;FHIR Infrastructure Work Group;Administrative;Helen Broberg, ISO TC215 designated 13606 Revision Expert (FHIR Lead);Archived;19/01/2015;25/08/2015;Ballot - Informative;2016 Sept WGM/Ballot;Supplement to a Current Standard;;TBD;N/A;FHIR Profile;12/08/2015 08:00
1198;Version 3 Publishing Scripts Refactoring;Publishing Work Group;;Organizational Support;Electronic Services & Tools;Archived;24/08/2015;01/09/2015;- Other -;2018 Jan WGM/Ballot;New/Modified HL7 Policy/Procedure/Process;V3Pub, ballot, publishing;http://wiki.hl7.org/index.php?title=V3_Publishing_ANT_Refactor;N/A;- Non Product Project -;24/08/2015 08:00
1199;IHE-Lab Profile to US Realm Lab  guides Harmonization;Orders and Observations Work Group;Healthcare Standards Integration, Public Health Work Group;Administrative;Riki Merrick;Archived;05/10/2015;27/10/2015;- Other -;2018 Sept WGM/Ballot;N/A (Project not directly related to an HL7 Standard);LOI, LRI, eDOS, ELR, IHE-Lab Technical Framework, LCC, LTW;"Interim content:
http://wiki.ihe.net/index.php?title=IHE-SNI_Lab_Harmonization ";Yes;V2 Messages-Clinical;27/08/2015 08:00
1200;Standards Maturity Measurement Tool;Technical Steering Committee;Policy Advisory Committee;None;Hans Buitendijk;Archived;01/09/2015;01/09/2015;- Other -;2016 May WGM/Ballot;N/A (Project not directly related to an HL7 Standard);;http://wiki.hl7.org/index.php?title=Policy_Committee;N/A;- Non Product Project -;14/09/2015 08:00
1202;Work and Health Functional Profile;Electronic Health Records Work Group;;Administrative;John Ritter;Archived;29/09/2015;15/10/2015;Ballot - Informative;2019 Sept WGM/Ballot;Create New Standard;"Work and Health Functional Requirements
Work and Health Vocabulary
Work and Health Glossary";TBD;Yes;Electronic Health Record;16/09/2015 08:00
1204;HL7 IG for CDA® Release 2: Personal Advance Care Plan Document, Release 1;Structured Documents Work Group;Patient Care Work Group;Infrastructure;Lisa Nelson;STU - Test Period/Accepting Comments;28/09/2015;14/10/2015;Ballot - STU to Normative;2025 Sept WGM/Ballot;Supplement to a Current Standard, IG;"Universal Advance Digital Directive; uADD; Advance Directives; Personal Care Plan; Emergency, Critical, and Advance Care Plan; ECA Care Plan; ECACP; Advance Care Plan; ACP; Patient Generated Advance Care Plan, Patient Generated Advance Care Planning Document.";http://wiki.hl7.org/index.php?title=Advance_Care_Plan_Document;No;V3 Messages-Clinical;16/09/2015 08:00
1203;Mobile Health Application Interoperability Review;Mobile Health Work Group;;Administrative;"Christopher Doss; Mohd Anwar; Paul Petronelli; Gora Datta";Archived;09/05/2016;;Ballot - Informative;2018 May WGM/Ballot;Supplement to a Current Standard;;http://wiki.hl7.org/index.php?title=MHWG_Projects_FHIRframe,;Don't Know;- New Product Definition -;16/09/2015 08:00
1205;Templates DSTU R1 formalization of the European Cross-Borders (epSOS) Patient Summary, ePrescription and eDispensation documents using ART-DECOR for optimal implementation guidance materials, validation and content testing support;Templates Work Group;;Infrastructure;Kai U. Heitmann, Giorgio Cangioli;Archived;01/03/2016;;Investigative Project (PSS-Lite);2016 May WGM/Ballot;;;"http://wiki.hl7.org/index.php?title=Templates, go to Section Formalization_of_epSOS_artefacts_using_ART-DECOR

An HL7 EU wiki is created to publish the artefacts appropriately.

Enter the SPECIFIC URL where supporting project documents, deliverables, ballot reconciliation work and other project information will be kept. A template to create a Project Page on the HL7 Wiki is available at: http://wiki.hl7.org/index.php?title=Template:Project_Page. ";;;17/09/2015 08:00
1206;Consumer Mobile Health Application Functional Framework (cMH2F);Mobile Health Work Group;Electronic Health Records Work Group;Administrative;Tim McKay;Archived;;;Ballot - Comment;2019 Jan WGM/Ballot;Create New Standard, Supplement to a Current Standard;"Mobile Health Framework; Consumer Health Mobile Framework ";Project Wiki: http://wiki.hl7.org/index.php?title=MHWG_Consumer_Mobile_Health_Application_Functional_Framework,;No;- New Product Definition -;08/10/2015 08:00
